Cycle,meanVh,meanVs,netOutflow
1,0.9297741216174756,0.91356814968304,0.021251777611298484
2,0.9075641498803855,0.8779711341278039,0.023459103509057166
3,0.8878758029365559,0.8463230009083031,0.015649892402237853
4,0.8762252025259609,0.81778308165676,0.026190431815343418
5,0.8650663637912994,0.7982893904528321,0.02585749090839634
6,0.8539407744086697,0.7856634206129747,0.030278458172469436
7,0.8548894173491579,0.7793847239373369,0.020918096182949375
8,0.8440892765093553,0.7658208410220907,0.018678936078287356
9,0.8312160075626391,0.7486030257569984,0.021560071412819792
10,0.8220100314438262,0.7361195233614866,0.021588842861054613
11,0.8138663716351687,0.7298060233413596,0.00901946372763246
12,0.8064891336474647,0.7253509967352564,0.016479728060644017
13,0.8062559481916943,0.7250237889620607,0.022167137483849464
14,0.7943455995924794,0.7065296694914512,0.01908140355845961
15,0.7820688811612577,0.691264248311768,0.02168845353451304
16,0.7714048911333881,0.6829036597492637,0.017422882573387533
17,0.7609696173456674,0.6734468909295024,0.022365764418364353
18,0.7453995038660809,0.6572902513280506,0.02364041414397694
19,0.7420312751241759,0.6556167105035084,0.020162556938948695
20,0.7356581189959452,0.6516991258965565,0.02133792153239067
21,0.7280422971707444,0.641490330357556,0.023619480120162684
22,0.7241590082735344,0.6354433751517194,0.01691354818512636
23,0.7210708592328096,0.6311936916522785,0.018418643239301202
24,0.7142713295941567,0.6233987619492579,0.014600506348748044
25,0.7111178645149515,0.6198438880583769,0.02096385678427226
26,0.7037377420522839,0.6131873654068111,0.02705494029221972
27,0.6996362234554752,0.6096676663625864,0.026136297303898437
28,0.6973640460396945,0.6061003911735531,0.02027643497990128
29,0.6908272323465892,0.5994698048906668,0.02210017180950208
30,0.6789408003196884,0.5853607545214028,0.02157134304846986
31,0.6806171406784741,0.5868852145732423,0.022243510892380025
32,0.6761441168290329,0.5836852612941147,0.01915419022760967
33,0.6796374223337793,0.5875393706399253,0.019650452040341215
34,0.6739952841204278,0.5822124179574155,0.02043784683090677
35,0.6673007846785395,0.5755919657537802,0.03086488809015986
36,0.6610140110248646,0.5708581628931686,0.022208131439536816
37,0.6477893883531792,0.5551396089842209,0.021337676372214287
38,0.6451826474830755,0.5518471591703796,0.017901840370680044
39,0.6433213873896274,0.5501737396853563,0.013588262589718791
40,0.6432705098026763,0.5501095752699299,0.022231277222077295
41,0.6367456507505719,0.5446198591372354,0.02050051388460583
42,0.6328132023815072,0.5403771229810279,0.014535650771375419
43,0.6302120881618546,0.5391845536479691,0.010764789510351536
44,0.6281398223543992,0.5372897097149738,0.01794359164288095
45,0.6262310911437534,0.5349146514924379,0.023989599876320766
46,0.6249490670539293,0.533319412812905,0.021115740817220396
47,0.6194948053034544,0.5272340395770291,0.0226809367218454
48,0.6158111854703192,0.5226572556263278,0.016726921948514883
49,0.6130423511387758,0.5199282817875394,0.02146353700756809
50,0.6085482135778681,0.515070066647926,0.02252644660880687
51,0.6080198914099999,0.5151317830814068,0.02152862269353739
52,0.6085528848548466,0.5157910807742442,0.01889748790332335
53,0.6039523558051305,0.5101003575249256,0.020010705036978937
54,0.6012671956464188,0.5067788909765822,0.025346322536065113
55,0.596078946787444,0.5003611750821971,0.0237221422571946
56,0.5865580302619668,0.48858407283141103,0.018889638250830787
57,0.5880808000023919,0.49121811134317,0.01627394325340842
58,0.5839110053449964,0.4868235732588236,0.021813421211132777
59,0.5772094040046348,0.47855826493905484,0.023793198701508145
60,0.5712536811720378,0.4712128734455092,0.020861285456375667
61,0.570398742297129,0.47015844883312136,0.018059561356806197
62,0.5756960781139788,0.47669182967391616,0.019715330919595986
63,0.5707413207003844,0.4713583763495636,0.019111389300120574
64,0.5700987414465228,0.4705670256874414,0.021896225538740932
65,0.565624463715423,0.4650568530141875,0.021427719393779854
66,0.5590960881287766,0.4570170130846726,0.02465501408282894
67,0.5543256720467338,0.4511421394368922,0.0202216599690076
68,0.5573345662087813,0.4548476596090508,0.018271254326870212
69,0.5504601039041229,0.446381606178558,0.017612417959605275
70,0.5520948066195039,0.4492035842887093,0.01539672362118194
71,0.549699140744537,0.44625759438574764,0.021453949181619636
72,0.5486789452437887,0.4450030431248112,0.01980132541139573
73,0.544230570502528,0.43953280321816274,0.018857236542451916
74,0.5440213808926376,0.4392755592990672,0.015424174623874742
75,0.5361721847988017,0.42962327319344723,0.027715113149997417
76,0.5333849573688991,0.4261957735777845,0.01423383708709669
77,0.5346048238756261,0.4276958635733448,0.023064408358228594
78,0.530962161691516,0.4232164217086232,0.01747859500500759
79,0.5293544784114196,0.4212394270201104,0.024572177873173784
80,0.5344851151843789,0.4275486558181301,0.016843604254682343
81,0.533968627652254,0.42691352256747517,0.02401887023584931
82,0.53341220733114,0.42622928330653254,0.018149792865459147
83,0.5267388090403758,0.4180228951835778,0.02025907819664058
84,0.5215937088949434,0.41169588053746997,0.01654285294677399
85,0.5245030223619864,0.4161296262873311,0.018283904175472265
86,0.5243774160972575,0.4159753923380627,0.019973865141118652
87,0.5260138959195012,0.41883575152703784,0.025807473591520913
88,0.5255779360730802,0.418301212066219,0.022705232733768732
89,0.52151396336698,0.4133182903661308,0.018670493465344273
90,0.5183056697608386,0.4093845346580372,0.01697779691419571
91,0.5157580906592603,0.4062608947849436,0.011387640833788515
92,0.5158008344885032,0.40631330388550896,0.016325596208267457
93,0.5120064843483197,0.4016609720372229,0.01925199583810966
94,0.5099510674135037,0.399140782462171,0.024319010938765928
95,0.5078954205194567,0.3966203109293254,0.020235024675110347
96,0.5034568839269459,0.3911781286355789,0.019629704038647833
97,0.502363005835999,0.3898369018924701,0.018263004520379378
98,0.5002313270451492,0.38722320606510685,0.022883806140701568
99,0.49224179968470433,0.3774270799253048,0.02279766600483568
100,0.49111684831211183,0.3760477535834737,0.019302528636311933
101,0.4876979419100561,0.3718557611333899,0.01952446824904497
102,0.48922221632650204,0.37372470578823813,0.01633647967761548
103,0.48597139842147297,0.3697388101502981,0.014226080281555753
104,0.48500651299420217,0.36855574400264474,0.016496218870387325
105,0.4838474492061707,0.3671345917167377,0.02121438885041016
106,0.4806534430563433,0.36414796239891517,0.020430868831341986
107,0.48195571126964853,0.365742369612875,0.023757362228508216
108,0.48043288016281643,0.3638779204329232,0.018805480073790293
109,0.48118452218853947,0.3647981789909225,0.021918636842465977
110,0.47998809517731617,0.3633333564312015,0.012635515964454058
111,0.47875506480197977,0.3618237192417368,0.01670056176733592
112,0.4763619391444174,0.3588937415510257,0.019863801413232962
113,0.47511848327443584,0.35737134010631255,0.022844970537943154
114,0.4744954117778129,0.35660849441995107,0.02397708864802167
115,0.4685097885594564,0.3492801109564926,0.02066323374994089
116,0.4634476022126452,0.3430823197893069,0.022986485482323404
117,0.46074089549954117,0.3397684151225621,0.01853002760789757
118,0.456343663648988,0.3353550329158685,0.015218080807305523
119,0.4541017929890273,0.33261424254636046,0.022890921501475592
120,0.45338989294626014,0.33174391188181707,0.02264538276645972
121,0.45136116353852196,0.3292636965320224,0.016516375441451348
122,0.44544336879380836,0.3230157767516802,0.019628463370396476
123,0.44378994321859244,0.3209973300038769,0.0249435020895038
124,0.4422842781264867,0.31915926432131225,0.01879857696097098
125,0.4404935853311484,0.3169732463334074,0.023750070077930174
126,0.4400537510645173,0.3164363113431914,0.02065731375597235
127,0.44046614270252843,0.3169397452884782,0.014740974291900022
128,0.43867499650834024,0.3147531738063889,0.014007168227478106
129,0.4380185708482956,0.31395183127332016,0.02641086706982776
130,0.44038456706749174,0.3168401604763844,0.02053710134099379
131,0.4434593016528077,0.3205936938177895,0.019573318048947408
132,0.4412913990150684,0.3179471906462453,0.021193072865020646
133,0.43740673324011126,0.313204920345522,0.014207553069379875
134,0.4332023430108809,0.30807234110401027,0.016336400846677923
135,0.4314822968874106,0.30597256621480345,0.01590236040587173
136,0.43049611668521093,0.30476867034448885,0.01681752292206068
137,0.42710508547459,0.3006290126414737,0.025052297952538938
138,0.4227508466468537,0.2953135032331221,0.024729002301436043
139,0.42327748375103885,0.29595640422979075,0.020982377437757826
140,0.41978405381432,0.29169174158020844,0.019729126010360032
