Cycle,meanVh,meanVs,netOutflow
1,0.9544366523882887,0.8226436048572161,0.13008591355940807
2,0.9318139073827857,0.7365537330698513,0.12296460987705071
3,0.9131351074372063,0.6732957580603053,0.12572530870750365
4,0.8955429717103448,0.6156343114882646,0.1294078634655787
5,0.8796007142158037,0.568188215541923,0.1286447318574797
6,0.8669067438326395,0.5226613175432121,0.12605678366286205
7,0.8548379990874715,0.48156428245525273,0.12357513771447792
8,0.8428354367987239,0.4433755053288152,0.1267257929279229
9,0.8328847007750309,0.4105891936048693,0.12347613007579483
10,0.8237566940732958,0.3809635948855448,0.12754980440775066
11,0.8154127044098703,0.35165619317516655,0.12793849362613596
12,0.807301493781575,0.3231664037782599,0.12803786269962336
13,0.8003118543786979,0.2986160174458255,0.13021251550351792
14,0.7940713741004917,0.27669697514634367,0.12372367217211633
15,0.7874689024309126,0.25350647548048494,0.1200597434492261
16,0.7820965979427402,0.23463681095591207,0.1263318443610848
17,0.7760728739455454,0.21347910270130568,0.12338941818750848
18,0.7713696385481632,0.1969594742394241,0.12899952411401594
19,0.7668449236803225,0.1810668806953508,0.12468872066875247
20,0.7633232268227256,0.16869728429470168,0.12354362892095455
21,0.7592149166313263,0.15426726915961123,0.125523433343183
22,0.7558988689306736,0.14261999417798785,0.12309018064215271
23,0.7524855859480376,0.1306311903133626,0.12553369956471255
24,0.7494721433685941,0.12004678455910572,0.1298891981487198
25,0.7467823868751868,0.11059929274341587,0.1192749484781892
26,0.7445137649056123,0.10263099243706197,0.12354473158905194
27,0.742148869457904,0.09432454148437103,0.12589123568241029
28,0.7400789290598438,0.0870540896730052,0.1254492908049032
29,0.7381646559891839,0.08033040326779949,0.12318332164969376
30,0.7363290338330954,0.07388297007492768,0.1250532925361592
31,0.7346354115466873,0.06793429675489367,0.12360985152834686
32,0.7332416524875894,0.06303886204318429,0.12369376030054308
33,0.7319846731990182,0.05862385214531442,0.12232345163798886
34,0.7306949303212183,0.05409376352494364,0.13018084231872756
35,0.7294226472678944,0.0496250007343386,0.12478336471985557
36,0.7283758567241284,0.045948257088894016,0.12856260039405865
37,0.727335498887453,0.042294107662536724,0.12542219123450188
38,0.7263804582069441,0.03893962593346963,0.12396686731372458
39,0.7256094686371205,0.03623160471715948,0.12099192782898588
40,0.7248024810744659,0.033397144269823806,0.12528834491028862
41,0.7240609334779757,0.030792534943291882,0.1239847446991153
42,0.7234249957641915,0.028558869419678383,0.12658518261709267
43,0.7228235914658182,0.026446498950182914,0.12040187998615687
44,0.7222280694798174,0.02435478949522495,0.12483711959766952
45,0.7217196420301033,0.02256899060161186,0.12486210176473966
46,0.7212930760086619,0.021070721518027496,0.12028233551195278
47,0.7208562277449889,0.01953633712083525,0.12327269363371168
48,0.7204511515028845,0.018113548667152937,0.128596534005946
49,0.7200218321886052,0.016605608926915462,0.12241775751670009
50,0.7196705293496836,0.015371693996812782,0.12749217357872183
51,0.7193316833338002,0.01418153237077464,0.11964357316718394
52,0.71903257301866,0.013130938288692119,0.12265309873875502
53,0.7187727033974927,0.012218173090362714,0.11568541546806554
54,0.7185509010041667,0.011439115097282584,0.12421142380301964
55,0.7182958652106155,0.010543328219099873,0.12433881324543006
56,0.7180764793405092,0.009772758014180044,0.12404526349448908
57,0.7178707644232037,0.009050205618699401,0.1256737769253939
58,0.717652467376501,0.008283459793491342,0.12765950990286212
59,0.7174716990012747,0.007648529549927764,0.1255048369880798
60,0.7172971909141177,0.0070355879214859425,0.12332679915074829
61,0.7171457980627706,0.006503836170892812,0.12894375540779995
62,0.7169888724373467,0.0059526511229033375,0.12500681160636828
63,0.7168657721808931,0.005520274189082749,0.1262478550367424
64,0.7167330545109284,0.005054117083837149,0.12405737970513564
65,0.7166284961993751,0.004686866815998909,0.12613636141409024
66,0.7165268778792532,0.004329942964322464,0.126075885824329
67,0.7164265294287261,0.003977479398421561,0.1289551905015514
68,0.7163390142409239,0.003670091342094243,0.12659602444252888
69,0.7162662929675891,0.0034146653820377876,0.12141521500332131
70,0.7161959552345292,0.00316761136096111,0.12139194140698595
71,0.7161281909188716,0.002929596202648988,0.1245497939975535
72,0.7160569142738027,0.002679244350133832,0.1239759778216013
73,0.7159936838851676,0.0024571541421085654,0.12505444399311905
74,0.7159392278633727,0.0022658829911781555,0.1265733946016151
75,0.7158901593424258,0.002093534880424403,0.12245469911439388
76,0.7158456411072526,0.0019371691783631555,0.1227943424215851
77,0.7158050708676739,0.0017946704029729518,0.12532324517409088
78,0.7157629285776606,0.0016466499628567442,0.1251908577992326
79,0.7157256682612686,0.0015157769507334678,0.12827774701594413
80,0.7156938313411008,0.0014039530575892226,0.12078643111144949
81,0.715663941841697,0.0012989692786883262,0.12404012894649208
82,0.715633288817354,0.0011913036973140998,0.12431463253567587
83,0.715608962025305,0.001105858353347164,0.12640603548343038
84,0.7155878942547781,0.0010318599857867174,0.12695240097610067
85,0.7155655459520801,0.0009533638812757901,0.12289902627209859
86,0.7155448066890534,0.00088051936237707,0.12076478222773451
87,0.7155255658582397,0.000812937931834304,0.12411802660697724
88,0.7155089915322135,0.000754722323876609,0.12289731162786205
89,0.7154923591090816,0.0006963026558618926,0.12797948041850565
90,0.7154760552484165,0.0006390370295594461,0.12645023972341674
91,0.7154616516433878,0.0005884458548798553,0.12722471211930786
92,0.7154492581412935,0.0005449149590907723,0.12114376035839913
93,0.7154390952873438,0.0005092189844777692,0.12191437313612169
94,0.715428695067051,0.00047268928509565367,0.1236450862542538
95,0.7154174884442646,0.00043332718027129464,0.1264408366146294
