Cycle,meanVh,meanVs,netOutflow
1,1.0,0.9014000988249893,0.117839269519327
2,1.0,0.8128925383059735,0.11673494238730564
3,1.0,0.7337985775779855,0.11572180393519282
4,1.0,0.6606796723254256,0.11521099568427406
5,1.0,0.5945321952134041,0.11771201374131213
6,1.0,0.5351715051107534,0.11671000730331338
7,1.0,0.48299806274546636,0.11653932406037282
8,1.0,0.4350711365742371,0.11572801175016756
9,1.0,0.3918343527213095,0.11571921304639865
10,1.0,0.3526293487714161,0.11679367379209527
11,1.0,0.31740384225577806,0.11711921852861062
12,1.0,0.28578995909815563,0.11674085434492787
13,1.0,0.2573030595480851,0.11803374645646536
14,1.0,0.2315151198105698,0.11679457326344689
15,1.0,0.2083484628741319,0.11667949525955734
16,1.0,0.18763591766511586,0.1161156334839567
17,1.0,0.16892975814272757,0.11625761530372858
18,1.0,0.15197902212794617,0.11673524332417029
19,1.0,0.13684058725829698,0.11738731439448391
20,1.0,0.12325584743095658,0.11618478452681569
21,1.0,0.11105999429421369,0.11801212463136701
22,1.0,0.09999307595663572,0.11808678482062396
23,1.0,0.09003257696193488,0.1159464546124257
24,1.0,0.08114019843370826,0.11545585618091658
25,1.0,0.07309331271246275,0.11691252934277385
26,1.0,0.06591328433206446,0.11728047061547031
27,1.0,0.059412645644338166,0.11698082800565623
28,1.0,0.05351088308583834,0.11653649215152939
29,1.0,0.04814124960276884,0.1167554555217225
30,1.0,0.043239377052021404,0.11650114909855835
31,1.0,0.03900995307796247,0.11681012153105541
32,1.0,0.03512799098232298,0.11754824381167195
33,1.0,0.03160157474911908,0.11742121140770723
34,1.0,0.02844962192733501,0.11688538076286636
35,1.0,0.0255635910593931,0.11695366420458797
36,1.0,0.023017608772447747,0.11620645554757636
37,1.0,0.020711948868963315,0.11747766912683277
38,1.0,0.018639072601866587,0.11688138787573432
39,1.0,0.016786952750999343,0.11614772433806864
40,1.0,0.015112283998671643,0.11664469543907185
41,1.0,0.01360847683080619,0.11652900526306809
42,1.0,0.012236147250959123,0.11656819870266089
43,1.0,0.011015224247458977,0.11566056286757287
44,1.0,0.009922696628568317,0.11671196839704068
45,1.0,0.008926272094007114,0.11740869364043838
46,1.0,0.008024087170593592,0.11676796903655229
47,1.0,0.007231359515423724,0.11631207057268389
48,1.0,0.006506473851248279,0.11830494080006226
49,1.0,0.00586496797086364,0.11684517878668599
50,1.0,0.005286532710415543,0.1166714115447558
51,1.0,0.004767384921180781,0.11638695135889465
52,1.0,0.004300201965903161,0.11565460851103926
53,1.0,0.003876085944737504,0.11741394276862704
54,1.0,0.00349101465817481,0.11634614328356951
55,1.0,0.0031413410218562037,0.1165358687524628
56,1.0,0.002827664270116175,0.11661943226492988
57,1.0,0.002543977151886479,0.11808347735961222
58,1.0,0.002288860699494018,0.11780635154157881
59,1.0,0.0020566594373170708,0.11672629724959671
60,1.0,0.001851616989513139,0.11662661552432374
61,1.0,0.0016666315951334998,0.11715864961663047
62,1.0,0.001499342547948153,0.11649317390315295
63,1.0,0.0013486517915997343,0.11752286390862776
64,1.0,0.0012136481758781494,0.11763969946447261
65,1.0,0.0010923561682771488,0.11775021487437998
66,1.0,0.0009829537050291103,0.11686983800874484
67,1.0,0.0008854920054508471,0.11570675261294161
68,1.0,0.0007976769382032241,0.11730356399328967
69,1.0,0.0007183338816782467,0.11629600461452372
70,1.0,0.000645902362335648,0.11731206001543293
71,1.0,0.0005812946585121713,0.11650884553194751
72,1.0,0.0005234899966026826,0.1172934541918671
73,1.0,0.0004715442864674713,0.11646032082735891
74,1.0,0.0004245882520959739,0.11739477408397436
75,1.0,0.00038223169805325037,0.11629512346618409
76,1.0,0.0003443256612440223,0.11642329332477497
77,1.0,0.0003095516749167574,0.11807771133957179
78,1.0,0.00027877932803399547,0.11666149781010182
79,1.0,0.00025156417321552517,0.11704517652427682
80,1.0,0.00022649100838741877,0.11862101106693712
81,1.0,0.00020378489638558147,0.1161433582593816
82,1.0,0.0001834831609744229,0.11608654880762637
83,1.0,0.00016499750687286403,0.11675213132290785
84,1.0,0.00014816308831640512,0.116737119335932
85,1.0,0.00013347978160896867,0.11614354710752672
86,1.0,0.00012020735636952475,0.1159642103637144
87,1.0,0.0001082788981220123,0.11685103361785198
88,1.0,9.746304538038459e-05,0.11618818410552978
89,1.0,8.767112373645994e-05,0.11751229797140839
90,1.0,7.90178389108603e-05,0.11547530455868193
91,1.0,7.119110029783943e-05,0.11736384467376282
92,1.0,6.410844047531322e-05,0.11708458539077116
93,1.0,5.768530986557762e-05,0.11808020595673052
94,1.0,5.185370890557089e-05,0.11743602014522392
95,1.0,4.6660425556186234e-05,0.11840462170925603
96,1.0,4.198057398357463e-05,0.11706107871909976
97,1.0,3.77427190870691e-05,0.11636495304621874
98,1.0,3.397627995938012e-05,0.11639778000360823
99,1.0,3.062034045643765e-05,0.11628899596815845
100,1.0,2.7521332258748268e-05,0.11803704495027789
